,Status
0,1
1,0
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
